First name,Last initial,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
Steven,X,67,male,2,own,,little,1169,6,radio/TV
Annie,I,22,female,2,own,little,moderate,5951,48,radio/TV
Aaron,E,49,male,1,own,little,,2096,12,education
Thomas,O,45,male,2,free,little,little,7882,42,furniture/equipment
Gary,S,53,male,2,free,little,little,4870,24,car
Cory,U,35,male,1,free,,,9055,36,education
Joe,C,53,male,2,own,quite rich,,2835,24,furniture/equipment
Richard,E,35,male,3,rent,little,moderate,6948,36,car
Michael,P,61,male,1,own,rich,,3059,12,radio/TV
Donald,A,28,male,3,own,little,moderate,5234,30,car
Holly,F,25,female,2,rent,little,moderate,1295,12,car
Brittany,N,24,female,2,rent,little,little,4308,48,business
Kenya,G,22,female,2,own,little,moderate,1567,12,radio/TV
Benjamin,E,60,male,1,own,little,little,1199,24,car
Jacqueline,E,28,female,2,rent,little,little,1403,15,car
Patsy,T,32,female,1,own,moderate,little,1282,24,radio/TV
Sung,X,53,male,2,own,,,2424,24,radio/TV
Dean,C,25,male,2,own,,little,8072,30,business
Dorothy,T,44,female,3,free,little,moderate,12579,24,car
Russell,C,31,male,2,own,quite rich,,3430,24,radio/TV
Tom,F,48,male,2,own,little,,2134,9,car
Vince,S,44,male,2,rent,quite rich,little,2647,6,radio/TV
Richard,F,48,male,1,rent,little,little,2241,10,car
Allen,F,44,male,2,own,moderate,moderate,1804,12,car
Phillip,J,26,male,2,own,,,2069,10,furniture/equipment
Kelly,O,36,male,1,own,little,little,1374,6,furniture/equipment
Michael,N,39,male,1,own,little,,426,6,radio/TV
Frances,H,42,female,2,rent,rich,rich,409,12,radio/TV
Ronald,C,34,male,2,own,little,moderate,2415,7,radio/TV
Eric,Y,63,male,2,own,little,little,6836,60,business
Hugh,B,36,male,2,own,rich,moderate,1913,18,business
Seth,V,27,male,2,own,little,little,4020,24,furniture/equipment
John,S,30,male,2,own,moderate,moderate,5866,18,car
Joe,I,57,male,1,rent,,,1264,12,business
Ina,F,33,female,3,own,little,rich,1474,12,furniture/equipment
Ray,E,25,male,1,own,little,moderate,4746,45,radio/TV
Nathan,P,31,male,2,free,little,,6110,48,education
Doyle,E,37,male,2,own,little,rich,2100,18,radio/TV
Maurice,D,37,male,2,own,little,rich,1225,10,domestic appliances
Roger,R,24,male,2,own,little,moderate,458,9,radio/TV
Ira,K,30,male,3,own,quite rich,,2333,30,radio/TV
