FirstName,LastName,BirthDate,Gender,Address,City,State,ZipCode,CreditScore,MaritalStatus,DriverLicenseNumber,Make,Model,Year,VIN,Color,VehicleType,EstimatedValue,AnnualMileage,PolicyNumber,EffectiveDate,ExpirationDate,PremiumAmount,CoverageType,Deductible,LiabilityLimit,ComprehensiveCoverage,CollisionCoverage,UninsuredMotoristCoverage,ClaimNumber,DateOfIncident,DateReported,IncidentDescription,IncidentLocation,ClaimAmount,SettlementAmount,ClaimStatus,FaultFlag
Eugene,Fitzpatrick,1981-01-19,M,111 Alan Wall,West Melissamouth,NC,47253,565,D,NC05509557,Tesla,Cybertruck,2009,4CPKJYKX9CE5R5X7F,Silver,Truck,9507,9779,P234453586,2022-05-22,2024-05-21,376.48,Standard,500,500000,1,0,1,C16788582,2024-03-15,2024-04-13,Multi-vehicle collision on highway,"911 Huffman Mission Apt. 699, Barbarahaven, CT",1217.1,1031.29,Closed,0.0
Mary,Wallace,1978-08-27,F,598 Hailey Shore Apt. 303,West Melissa,NM,28709,834,W,NM67661980,Chrysler,Pacifica,2017,OL5M5LOIPZKSBWTSM,Yellow,Van,5989,10614,P082315295,2022-05-22,2025-05-21,186.86,Premium,1000,250000,0,1,0,C56064770,2023-04-10,2023-05-05,Flood damage,"2031 Nicholas Key, Jennahaven, WI",2574.19,,Open,0.0
James,Smith,1972-02-06,M,96737 Gardner Crest Suite 855,West Matthew,NJ,64379,450,D,NJ10838226,Chrysler,Town & Country,2008,SALSUL8SNW74YRTU7,Black,SUV,7854,10635,P989643431,2023-05-22,2024-05-21,248.81,Basic,2000,500000,0,1,0,,,,,,,,,
Jeremiah,Vasquez,2002-07-29,M,71286 Christina Coves Suite 410,North Ashleyview,ID,58943,714,W,ID00755223,Kia,Optima,2012,0J3OKEKSK2VPAJSPJ,Gray,Sedan,15130,16685,P477107146,2022-05-22,2024-05-21,748.93,Custom,500,50000,1,1,0,C33961448,2023-09-28,2023-10-06,Theft of vehicle,"10505 Joseph Pines Apt. 805, South Megan, RI",5622.16,4035.16,Closed,1.0
Karen,Richardson,1978-11-14,F,84781 John Roads,Lake Cynthiashire,NJ,41460,557,M,NJ60347690,Honda,CR-V,2009,XSWY0SZKBNSH8LLRB,Gray,SUV,2810,9993,P316475160,2022-05-22,2024-05-21,144.66,Premium,2000,50000,1,0,1,,,,,,,,,
Arthur,Burton,2005-08-14,M,876 Melody Ports Suite 872,West Zachary,NH,26211,591,M,NH09534242,Mercedes,C-Class,2017,AYAQRS3M5OUROL6BI,Orange,Luxury,21541,18063,P160430276,2022-05-22,2024-05-21,1791.35,Custom,2000,25000,1,1,0,,,,,,,,,
Taylor,Moore,1973-02-17,F,3723 Brown Greens Apt. 027,Alvarezfort,WV,98300,713,S,WV07595715,Tesla,Model S,2005,0E34TKWIH73P4M7B0,White,Luxury,2000,11133,P661856158,2024-05-21,2025-05-21,92.4,Custom,2000,50000,0,0,1,C56782214,2024-09-18,2024-09-24,Windshield damage from debris,"8536 Robert Port Apt. 472, New Ryan, VT",1145.62,,Under Investigation,0.0
Jessica,Phillips,1984-06-07,F,10324 Thomas Crescent Suite 677,Christopherside,SC,51294,645,D,SC55721252,Tesla,Model S,2023,M8A41ZBLM576M2YVP,Gold,Luxury,36811,6048,P432258229,2023-05-22,2025-05-21,1855.27,Standard,2000,25000,1,0,1,,,,,,,,,
Valerie,Campos,1971-01-27,F,71747 Hall Fork,Port Paula,OK,34324,768,M,OK17716193,Volkswagen,Atlas,2013,ABSM2OTEYMOMLF65J,Red,Sports Car,26149,20476,P747423134,2022-05-22,2025-05-21,966.47,Custom,500,250000,0,1,1,C45511410,2022-11-08,2022-11-26,Hit and run accident,"6772 Michael Mills Apt. 073, Port Vincentville, MN",14505.87,,Under Investigation,1.0
Wanda,Torres,1981-08-23,F,34123 Andrea Estate,South Shannonfort,AR,38676,689,W,AR45424956,BMW,3 Series,2025,EF2CTG08ZZKK4J1O5,Gold,Sedan,10669,23178,P237859011,2024-05-21,2026-05-21,320.07,Standard,250,1000000,1,1,1,,,,,,,,,
