FirstName,LastName,BirthDate,Gender,Address,City,State,ZipCode,PhoneNumber,Email,SmokerStatus,Height,Weight,Occupation,AnnualIncome,PolicyNumber,PolicyType,IssueDate,MaturityDate,DeathBenefitAmount,PremiumAmount,PremiumFrequency,CashValue,SurrenderChargePercent,Status,RiskClass,UnderwritingDecision,BeneficiaryFirstName,BeneficiaryLastName,RelationshipToInsured,BeneficiaryType,PercentageShare,BeneficiaryAddress,BeneficiaryCity,BeneficiaryState,BeneficiaryZipCode,BeneficiaryPhone,BeneficiaryEmail,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus,ReferenceNumber,DueDate,LateFee,ProcessedBy
Amanda,Myers,2002-09-06,F,2861 Hays Spring Suite 859,East Tammyfurt,DC,80291,661.416.6286x603,lindsey68@example.net,Y,63.3,118.4,Computer Programmer,32908.0,LI80361460,Indexed Universal,2021-05-22,2098-05-03,320000.0,69.12,Monthly,665.98,16.0,Active,Standard,Approved,Myers Family,Trust,Trust,Primary,100.0,310 Heather Walk Apt. 890,Rachelfort,NM,82216,001-685-619-6528,keith06@example.com,2024-02-06,69.12,Credit Card,Completed,CC-63397937,2024-02-06,0.0,Agent
Amy,Barajas,1958-11-15,F,295 Howard Forges,West Danielleberg,NC,51209,304.902.9662,coryphillips@example.org,Y,68.3,231.3,Attorney,252160.95,LI78653069,Universal,2018-05-23,2051-05-15,1530000.0,1549.12,Monthly,42171.51,13.0,Active,Substandard,Approved,Barajas Family,Trust,Trust,Primary,100.0,42145 William Unions,East Gary,IL,94682,8199386822,johnfisher@example.org,2020-07-07,1549.12,Cash,Completed,CSH-46367992,2020-07-11,0.0,Customer Service
Paul,Saunders,1998-05-01,M,47784 Pacheco Plains Apt. 061,Colefurt,NV,60749,6028842762,kgallagher@example.net,N,68.4,202.2,Construction Worker,51233.91,LI57777203,Term,2015-05-24,2045-05-16,540000.0,65.61,Quarterly,0.0,0.0,Active,Substandard,Rated,Saunders Family,Trust,Trust,Primary,100.0,42785 Norton Coves Apt. 363,West Nicholasmouth,SD,85764,001-262-850-9694x12352,foxchristopher@example.org,2024-10-03,65.61,Credit Card,Completed,CC-52287560,2024-10-03,0.0,Auto-Payment
Jeffery,Jordan,1961-08-27,M,31805 Yvonne Unions Apt. 962,Weekschester,FM,52094,(821)859-1832x70004,vgarcia@example.net,N,71.3,194.6,Project Manager,122887.7,LI25795423,Indexed Universal,2016-05-23,2052-05-14,490000.0,661.5,Monthly,21115.04,11.0,Active,Substandard,Approved,Carlos,Jordan,Sibling,Primary,86.0,0383 Thompson Crescent,Lake Joseph,ME,64656,3648922257,brandon04@example.net,2018-12-06,661.5,Bank Transfer,Completed,ACH-14508460,2018-12-09,0.0,Agent
Manuel,Brown,1969-11-14,M,3263 John Stream Suite 524,Dawnton,NC,54881,+1-840-735-5338x0339,scottsmith@example.com,Y,68.2,161.5,Pharmacist,95857.38,LI92899347,Whole Life,2020-05-22,2064-05-11,560000.0,567.0,Monthly,9328.92,15.0,Active,Substandard,Approved,Angela,Brown,Child,Primary,100.0,201 Mckenzie Drive Suite 126,Brownside,PW,55351,001-261-410-8403,emyers@example.org,2022-04-12,567.0,Check,Completed,CHK-33706627,2022-04-12,0.0,System
Lindsey,Hines,1981-11-30,F,4670 Owen Springs Suite 169,East Belindastad,UT,98617,(315)201-6426,npennington@example.org,N,64.8,157.6,Physical Therapist,52371.24,LI50874887,Whole Life,2017-05-23,2073-05-09,430000.0,580.5,Quarterly,6928.52,12.0,Active,Standard,Approved,Bradley,Hines,Child,Primary,54.0,1141 Julie Loaf,Marchaven,HI,01357,8943124451,lisa53@example.com,2018-02-17,580.5,Bank Transfer,Completed,ACH-59433979,2018-02-17,0.0,Auto-Payment
Jeffrey,Rogers,1953-08-09,M,71859 Charles Dam,Cardenashaven,VA,37788,+1-285-263-7114x2943,mcmillanjohn@example.com,N,72.4,212.3,Computer Programmer,40757.05,LI06572213,Whole Life,2018-05-23,2046-05-16,270000.0,243.0,Monthly,5993.74,13.0,Active,Preferred,Approved,Michael,Rogers,Child,Primary,100.0,71859 Charles Dam,Cardenashaven,VA,37788,(548)317-2971,beckerjulia@example.org,2023-09-24,243.0,Check,Completed,CHK-15732976,2023-09-24,0.0,System
Deborah,Anderson,1988-04-24,F,5107 Charles Forest Suite 251,West Justin,NV,71701,001-449-680-8412x411,cassandra53@example.net,Y,65.0,170.7,Construction Worker,35878.59,LI13730637,Universal,2018-05-23,2081-05-07,200000.0,25.92,Monthly,514.89,13.0,Active,Preferred Plus,Approved,Stacey,Anderson,Child,Primary,100.0,5107 Charles Forest Suite 251,West Justin,NV,71701,001-782-345-5381,toddheath@example.org,2019-08-16,25.92,Credit Card,Completed,CC-51629097,2019-08-16,0.0,Customer Service
Brandi,Cain,1946-03-14,F,831 Marie Turnpike Suite 412,South Kimberlyfurt,MD,80681,+1-992-601-2376x317,joshua10@example.com,N,64.2,171.1,Electrician,42666.91,LI34534401,Term,2016-05-23,2046-05-16,280000.0,47.25,Monthly,0.0,0.0,Active,Substandard,Approved,Danny,Cain,Spouse,Primary,47.0,4238 Katherine Run,Morrisonland,OR,11331,209.281.7455x27537,sarah02@example.net,2018-02-12,47.25,Check,Completed,CHK-75393775,2018-02-12,0.0,Auto-Payment
David,Woodard,1966-10-13,M,420 Luis Club Suite 079,South Maryshire,CT,27424,+1-360-515-7117,kirstendavis@example.net,N,69.4,191.6,Physical Therapist,54907.87,LI03815667,Whole Life,2017-05-23,2058-05-13,580000.0,391.5,Monthly,12025.66,12.0,Active,Standard,Approved,Amanda,Woodard,Spouse,Primary,100.0,420 Luis Club Suite 079,South Maryshire,CT,27424,310.781.6535x985,colleenmoore@example.net,2017-09-16,391.5,Check,Completed,CHK-53508031,2017-09-20,0.0,System
