SaleID,CustomerID,FirstName,LastName,Email,CustomerCity,CustomerState,LoyaltyMember,ProductID,ProductName,Category,UnitPrice,StoreID,StoreName,StoreCity,StoreState,SaleDate,Quantity,TotalAmount
1,1655,Richard,Lee,hayley92@example.net,Lake Johnton,MI,0,73,Toys Item 73,Toys,69.68,21,Store Ritterview #21,Hugheshaven,MI,2024-12-28,2,139.36
2,642,Tom,Mcclure,imoss@example.org,North Jennifer,TX,1,55,Electronics Item 55,Electronics,182.71,16,Store Port Austin #16,North Christian,MI,2024-01-30,1,182.71
3,1313,Thomas,Gonzales,eric22@example.net,Micheleview,NC,1,29,Toys Item 29,Toys,187.81,28,Store West Hunterville #28,Brianview,TX,2023-10-23,3,563.43
4,276,Ryan,Johnson,shannonjordan@example.org,East Joshua,CA,1,36,Home Item 36,Home,107.45,44,Store Jeremyshire #44,Port Samanthafurt,GA,2023-08-09,3,322.35
5,983,Ashley,Robinson,sarah80@example.com,Browntown,GA,0,94,Sports Item 94,Sports,62.52,30,Store Kimberlyport #30,Lake Lisa,TX,2023-10-24,1,62.52
6,626,Michael,May,williamssteven@example.com,Thomasside,MI,0,58,Electronics Item 58,Electronics,62.8,32,Store New Debbieville #32,Bentleystad,MI,2024-03-24,1,62.8
7,1323,James,Wilson,alvarezcory@example.net,New Tony,TX,0,71,Electronics Item 71,Electronics,150.64,39,Store Lopezmouth #39,North Joshuaton,IL,2024-03-27,1,150.64
8,1759,Jose,Arias,ijackson@example.com,Muellermouth,MI,0,11,Toys Item 11,Toys,65.97,9,Store South Dennis #9,North Kennethberg,FL,2023-07-07,3,197.91
9,1503,Robert,Clarke,amydavis@example.org,Mooreview,FL,0,69,Toys Item 69,Toys,156.17,41,Store North Sarastad #41,Debraton,TX,2024-05-29,1,156.17
10,1828,Jason,Carter,ryanrogers@example.net,Lake Haroldport,NY,0,10,Books Item 10,Books,80.57,2,Store Tuckerhaven #2,West Richardstad,OH,2024-01-27,3,241.71
11,1665,Lauren,Francis,brownsusan@example.org,West Johnny,MI,0,65,Clothing Item 65,Clothing,173.67,38,Store Chavezshire #38,Rossmouth,TX,2023-05-27,2,347.34
12,1209,Cynthia,Davis,aaronjones@example.net,Lake Gregory,OH,0,75,Clothing Item 75,Clothing,159.87,14,Store Lindaberg #14,Staceyburgh,NY,2024-04-29,2,319.74
13,1114,Aaron,Marks,brodriguez@example.net,Maryhaven,CA,0,5,Clothing Item 5,Clothing,149.77,35,Store Jocelynburgh #35,Smallhaven,PA,2024-03-04,2,299.54
14,305,Kristen,Leon,troyrodriguez@example.com,New Pamelatown,MI,0,61,Electronics Item 61,Electronics,37.64,24,Store New Martinport #24,Port Matthewfurt,GA,2023-07-11,2,75.28
15,1582,Susan,Morrison,jonescraig@example.org,Port Stevenstad,MI,1,51,Toys Item 51,Toys,177.7,38,Store Chavezshire #38,Rossmouth,TX,2025-04-04,1,177.7
16,275,Ethan,Castro,zhall@example.net,East Danielle,OH,0,94,Sports Item 94,Sports,62.52,30,Store Kimberlyport #30,Lake Lisa,TX,2023-06-08,4,250.08
