account_holder_id,account_holder_name,address,relationship_tier,banking_product_id,product_name,product_category,transaction_date,transaction_amount,transaction_type,transaction_id,account_number
AH092,William Moore,"300 Fourth Ln, San Antonio TX",Standard,PROD007,Credit Card,Credit Cards,2024-02-21 09:54:00,-28.55,Fee,TXN000001,CC339592
AH089,Sharon Wright,"7534 Center Ln, Nashville TN",Preferred,PROD014,Wire Transfer,Services,2024-03-07 15:25:00,-565.92,Transfer,TXN000002,SVC547494
AH069,Paul Brown,"6983 Water St, Columbus OH",Basic,PROD005,Basic Checking,Checking,2024-02-12 12:23:00,-484.78,Withdrawal,TXN000003,CHK195656
AH019,Kevin King,"9913 School Way, New York NY",Premium,PROD012,Certificate of Deposit,Savings,2024-01-06 14:06:00,-2804.04,Transfer,TXN000004,SAV714953
AH121,Kimberly Wright,"5288 Jackson Pl, Oklahoma City OK",Premium,PROD004,Money Market,Savings,2024-02-05 13:42:00,8748.71,Deposit,TXN000005,SAV886730
AH091,Ruth Hill Jr,"1747 North Ln, Denver CO",Preferred,PROD010,Mortgage,Loans,2024-02-18 12:38:00,-1184.61,Payment,TXN000006,MTG705991
AH110,Laura Young,"8041 Park St, Louisville KY",Preferred,PROD016,Safe Deposit Box,Services,2024-02-28 10:42:00,21258.23,Deposit,TXN000007,SVC467121
AH120,Jessica Jones,"4442 High Blvd, Milwaukee WI",Standard,PROD009,Investment Account,Investments,2024-01-24 09:48:00,-1208.18,Transfer,TXN000008,INV549956
AH121,Kimberly Wright,"5288 Jackson Pl, Oklahoma City OK",Premium,PROD001,Premium Checking,Checking,2024-02-19 17:39:00,-664.67,Withdrawal,TXN000009,CHK827157
AH058,Donna Lewis,"3601 Franklin Way, Louisville KY",Basic,PROD010,Mortgage,Loans,2024-01-02 10:17:00,-2780.31,Payment,TXN000010,MTG468074
AH001,Edward Davis,"4606 West Dr, Los Angeles CA",Premium,PROD013,Overdraft Protection,Services,2024-02-26 10:36:00,3975.93,Deposit,TXN000011,SVC763928
AH007,Laura White,"3250 Cedar St, Kansas City MO",Standard,PROD013,Overdraft Protection,Services,2024-01-06 16:13:00,-50.83,Fee,TXN000012,SVC265055
AH080,Jennifer Torres,"5788 Second Blvd, Chicago IL",Preferred,PROD003,Personal Loan,Loans,2024-03-05 13:49:00,-2673.36,Payment,TXN000013,LON263137
AH035,Helen Davis,"4133 Fifth St, Kansas City MO",Standard,PROD003,Personal Loan,Loans,2024-02-18 17:03:00,-961.89,Payment,TXN000014,LON794093
AH091,Ruth Hill Jr,"1747 North Ln, Denver CO",Preferred,PROD014,Wire Transfer,Services,2024-03-17 17:28:00,-29.4,Fee,TXN000015,SVC637234
AH027,Paul Gonzalez,"1688 Madison Ct, San Antonio TX",Standard,PROD010,Mortgage,Loans,2024-01-23 14:07:00,-2099.01,Payment,TXN000016,MTG721946
AH106,Emily Nguyen,"8156 Elm Way, Memphis TN",Preferred,PROD002,High-Yield Savings,Savings,2024-02-03 18:19:00,9846.01,Deposit,TXN000017,SAV157443
AH001,Edward Davis,"4606 West Dr, Los Angeles CA",Premium,PROD005,Basic Checking,Checking,2024-02-28 12:13:00,-649.95,Transfer,TXN000018,CHK225812
AH001,Edward Davis,"4606 West Dr, Los Angeles CA",Premium,PROD005,Basic Checking,Checking,2024-03-17 14:11:00,3533.17,Deposit,TXN000019,CHK624563
AH121,Kimberly Wright,"5288 Jackson Pl, Oklahoma City OK",Premium,PROD012,Certificate of Deposit,Savings,2024-02-23 18:51:00,8631.47,Deposit,TXN000020,SAV144357
AH093,Kenneth Walker,"5682 Church St, Louisville KY",Preferred,PROD003,Personal Loan,Loans,2024-01-02 15:58:00,-2613.91,Payment,TXN000021,LON703727
AH092,William Moore,"993 Third Ln, Chicago IL",Standard,PROD014,Wire Transfer,Services,2024-02-06 14:45:00,-20.37,Fee,TXN000022,SVC121869
AH072,Jane Harris,"6724 Hill Way, El Paso TX",Basic,PROD012,Certificate of Deposit,Savings,2024-01-11 17:29:00,8460.4,Deposit,TXN000023,SAV355135
AH093,Kenneth Walker,"5682 Church St, Louisville KY",Preferred,PROD003,Personal Loan,Loans,2024-02-07 14:33:00,-1308.15,Payment,TXN000024,LON425346
AH075,Steven Moore,"4233 Elm Way, Las Vegas NV",Premium,PROD006,Student Checking,Checking,2024-01-15 13:49:00,3184.46,Deposit,TXN000025,CHK656379
