customer_id,name,email,phone
1,Brittany Weiss,raymondsilva@example.net,+1-609-412-7601x24483
2,Christian Obrien Jr.,cfleming@example.org,+1-593-548-5922
3,Jacob Bruce,jeanwarner@example.org,+1-529-861-9390
4,Evan Morales,cperez@example.net,+1-908-862-0335
5,Thomas Fuller,lowematthew@example.org,728-823-2835
6,Michele Marsh,aandersen@example.org,7319410049
7,William Yoder,llong@example.com,001-220-954-9631x40868
8,Jennifer Morris,joycegeorge@example.com,897-372-8841
9,Janet Palmer,hollywalker@example.com,852-290-3305x693
10,Cassandra Kaiser,cynthia83@example.com,429-731-4945x3027
11,,foxjenny@example.com,
12,Richard Moore,bad-email,+1-883-657-0833x317
13,Lisa Vance,vgallegos@example.net,865-807-4073x859
14,Theresa Elliott,brittany75@example.org,001-524-757-6495
15,Anne Caldwell,scott95@example.com,379-686-1237x913
16,Benjamin Holland,ericabrown@example.net,912-625-9843
17,April Black,judith16@example.org,(274)372-1932
18,Timothy Carr,justinrojas@example.org,932-653-9431
19,Kristy Brown,simpsonmichael@example.org,
20,Kristi Watkins,jeffery10@example.org,+1-856-721-8340
21,Kristine Becker,rogersariana@example.org,998.665.1920x88595
22,Matthew Allison,avilajuan@example.net,001-629-474-1218x69210
23,Heather Walker,bad-email,+1-449-976-5524x800
24,Cynthia Wilson,rachelwheeler@example.org,
25,Sarah Cunningham,amandamahoney@example.net,+1-639-754-7395x341
26,Taylor Pham,gilbertadriana@example.net,761-494-9523
27,Shelley Snyder,rmendoza@example.org,
28,Joseph Ramos,ltorres@example.net,838.911.0568x8383
29,Sheila Swanson,smithnicholas@example.com,(852)654-1852
30,Ronnie Cummings,randy61@example.net,
31,William Wilson,raymond92@example.net,+1-887-717-2111x2830
32,Gregory Rodriguez,donald29@example.net,799-744-0132
33,Nicole Cooper,veronicajensen@example.org,218-911-7177x721
34,Luis Gonzales,vincentjenkins@example.org,857-409-0268x34448
35,Bryan Hooper,adrienne54@example.net,+1-893-756-5790x38380
36,Jennifer Bennett MD,adamjohnson@example.com,(604)742-8721x911
37,Stephanie Allen,john86@example.org,+1-989-963-4084x155
38,Daniel Crawford,hnelson@example.org,(416)757-1977x53722
39,Jason Nichols,gallegosjessica@example.org,884-542-6456x030
40,John Day,maria11@example.com,(594)413-1987x07655
41,Deanna Barry,johnsonjohn@example.net,+1-899-500-6095x978
42,James Garcia,thomasderrick@example.com,(323)221-9428
43,Brian Rogers,lewisdiana@example.com,(364)478-3872
44,Richard Harris,nicole65@example.com,631-945-6529
45,Gregory Gonzalez DDS,vjones@example.net,001-605-419-6997
46,Courtney Ho,kristensandoval@example.org,+1-202-819-9154x782
47,,twright@example.com,001-367-278-7018x49578
48,Brian Meyer,robertrobertson@example.net,502.253.1131
