customer_id,customer_name,age,account_tenure_months,credit_score,annual_income,state,account_type,previous_fraud_incidents
CUST001,Elizabeth Ray,58,65,726,80044,MINNESOTA,CHECKING,0
CUST002,Kenneth Mclean,33,51,784,129794,IOWA,PREMIUM,0
CUST003,Sherri Moore,46,82,753,78877,MARYLAND,PREMIUM,0
CUST004,Heather Torres,35,96,760,102487,OREGON,SAVINGS,0
CUST005,Douglas Wilson,51,21,743,70633,MASSACHUSETTS,PREMIUM,0
CUST006,Pamela Lewis,32,64,738,54006,TEXAS,CHECKING,0
CUST007,Alexis Wells,37,95,730,103884,VIRGINIA,PREMIUM,0
CUST008,William Sims,28,37,693,97626,LOUISIANA,PREMIUM,0
CUST009,Eddie Lee,55,50,767,69233,NEVADA,PREMIUM,0
CUST010,Susan French,62,45,810,92239,OKLAHOMA,CHECKING,0
CUST011,Joseph Stephens,35,30,733,107865,MAINE,SAVINGS,0
CUST012,Joshua Hansen,39,58,809,108675,LOUISIANA,CHECKING,0
CUST013,Jillian Duncan,40,57,735,117801,WEST_VIRGINIA,CHECKING,0
CUST014,Stephen Price,51,30,787,130383,IOWA,CHECKING,0
CUST015,Matthew Marshall,42,12,731,68709,MICHIGAN,CHECKING,2
CUST016,Jonathan Wilson,33,12,668,68310,NORTH_DAKOTA,PREMIUM,1
CUST017,Felicia Warren,44,34,723,52377,SOUTH_CAROLINA,CHECKING,0
CUST018,Olivia Holt,31,17,660,51416,OHIO,CHECKING,0
CUST019,David Burgess,25,40,668,45022,IOWA,PREMIUM,0
CUST020,Anthony Little,64,19,755,143891,NEW_YORK,PREMIUM,0
CUST021,Anthony Jones,39,22,837,87698,MISSOURI,PREMIUM,0
CUST022,Diana Armstrong,34,24,687,55821,MASSACHUSETTS,SAVINGS,0
CUST023,Deborah Henderson,32,28,750,117470,UTAH,PREMIUM,0
CUST024,Bryan Sullivan,47,45,711,136867,WEST_VIRGINIA,PREMIUM,0
CUST025,Meghan Jones,30,48,746,81551,NORTH_CAROLINA,SAVINGS,0
CUST026,Claudia Wagner,25,22,751,39600,WYOMING,CHECKING,1
CUST027,Theresa Elliott,25,19,683,74493,MAINE,CHECKING,0
CUST028,Jennifer Pierce,40,30,722,97264,GEORGIA,PREMIUM,0
CUST029,Matthew Clark,59,53,772,72335,TENNESSEE,PREMIUM,0
CUST030,Julie Clark,54,34,798,118044,NORTH_DAKOTA,CHECKING,0
CUST031,Kimberly Flynn,50,50,753,75251,IOWA,PREMIUM,0
CUST032,Sandra Ford,50,39,779,176638,ILLINOIS,CHECKING,0
CUST033,Maria Howard,49,23,728,72768,TEXAS,PREMIUM,0
CUST034,Kimberly Mills,54,96,696,54393,VERMONT,CHECKING,0
CUST035,Kevin Meyer,63,56,706,57800,LOUISIANA,PREMIUM,0
CUST036,Jesse Owen,46,32,721,72712,MAINE,SAVINGS,0
CUST037,Judy Carpenter,52,16,773,110664,FLORIDA,PREMIUM,0
CUST038,Karen Hansen,27,78,759,54868,TEXAS,SAVINGS,2
CUST039,James Wood,40,47,730,103403,ALABAMA,PREMIUM,0
CUST040,Megan Jimenez,39,40,657,79236,MARYLAND,PREMIUM,0
CUST041,Janice Gonzalez,49,76,763,79272,NEW_MEXICO,CHECKING,0
CUST042,Shannon Newman,25,95,691,78668,NEBRASKA,SAVINGS,0
CUST043,Rickey Bass,53,33,828,116702,PENNSYLVANIA,PREMIUM,0
CUST044,Richard Morgan,52,76,791,98159,MISSOURI,CHECKING,0
CUST045,Jeffrey Hughes,45,36,653,65252,NORTH_DAKOTA,SAVINGS,1
CUST046,Regina Terry,30,64,769,67036,WASHINGTON,PREMIUM,0
CUST047,Troy Sharp,33,14,739,103076,NEW_YORK,CHECKING,0
CUST048,Francisco Camacho,25,12,759,88717,NEBRASKA,PREMIUM,0
