customer_id,customer_name,age,account_tenure_months,credit_score,annual_income,state,account_type,previous_fraud_incidents
CUST001,Alice Johnson,34,24,720,65000,NEW_YORK,CHECKING,0
CUST002,Bob Smith,28,18,680,55000,CALIFORNIA,PREMIUM,1
CUST003,Carol Davis,45,36,750,85000,FLORIDA,CHECKING,0
CUST004,David Wilson,52,48,690,92000,TEXAS,SAVINGS,0
CUST005,Eva Martinez,29,12,650,48000,NEVADA,CHECKING,2
CUST006,Frank Anderson,38,30,710,78000,ILLINOIS,PREMIUM,0
CUST007,Grace Lee,41,6,620,42000,UNKNOWN,CHECKING,3
CUST008,Henry Taylor,33,42,740,95000,COLORADO,PREMIUM,0
CUST009,Iris Brown,27,15,670,52000,ARIZONA,CHECKING,0
CUST010,Jack Miller,46,54,780,110000,WASHINGTON,PREMIUM,0
CUST011,Kelly Garcia,31,21,700,67000,OREGON,CHECKING,0
CUST012,Leo Rodriguez,39,9,640,39000,MICHIGAN,CHECKING,1
CUST013,Maria Gonzalez,44,33,730,88000,UTAH,SAVINGS,0
CUST014,Nathan White,25,7,610,35000,MONTANA,CHECKING,0
CUST015,Olivia Johnson,50,60,760,125000,HAWAII,PREMIUM,0
CUST016,Paul Wilson,29,14,685,58000,TEXAS,CHECKING,0
CUST017,Quinn Adams,36,28,720,72000,CALIFORNIA,SAVINGS,0
CUST018,Rachel Green,42,45,705,89000,FLORIDA,PREMIUM,0
CUST019,Sam Thompson,31,19,675,63000,NEW_YORK,CHECKING,0
CUST020,Tina Clark,28,11,650,47000,WASHINGTON,CHECKING,0
CUST021,Victor Lopez,47,52,745,98000,NEVADA,PREMIUM,0
CUST022,Wendy Hall,35,25,698,66000,OREGON,CHECKING,0
CUST023,Xavier King,40,8,615,41000,ARIZONA,CHECKING,1
CUST024,Yolanda Scott,33,31,712,75000,COLORADO,SAVINGS,0
CUST025,Zachary Moore,26,16,662,54000,UTAH,CHECKING,0
CUST026,Amy Baker,44,38,728,82000,MICHIGAN,PREMIUM,0
CUST027,Brian Cooper,30,13,670,56000,ILLINOIS,CHECKING,0
CUST028,Chloe Evans,37,27,695,69000,MONTANA,SAVINGS,0
CUST029,Derek Foster,25,9,645,38000,CALIFORNIA,CHECKING,0
CUST030,Emma Hughes,48,49,752,102000,TEXAS,PREMIUM,0
CUST031,Felix Torres,32,22,688,61000,NEW_YORK,CHECKING,0
CUST032,Grace Phillips,39,35,715,78000,FLORIDA,SAVINGS,0
CUST033,Hugo Rivera,43,7,625,44000,WASHINGTON,CHECKING,2
CUST034,Iris Collins,34,26,692,67000,NEVADA,CHECKING,0
CUST035,Jake Stewart,27,12,655,49000,OREGON,CHECKING,0
CUST036,Kelly Morris,45,41,735,86000,ARIZONA,PREMIUM,0
CUST037,Luis Rogers,38,29,708,73000,COLORADO,SAVINGS,0
CUST038,Megan Reed,30,17,665,55000,UTAH,CHECKING,0
CUST039,Noah Bell,46,51,748,96000,MICHIGAN,PREMIUM,0
CUST040,Olivia Ward,24,6,618,36000,ILLINOIS,CHECKING,0
CUST041,Pedro Gray,41,36,722,80000,MONTANA,SAVINGS,1
CUST042,Quinn James,33,23,682,64000,CALIFORNIA,CHECKING,0
CUST043,Ruby Price,49,46,740,92000,TEXAS,PREMIUM,0
CUST044,Sean Wood,28,15,668,52000,NEW_YORK,CHECKING,0
CUST045,Tara Brooks,35,30,700,71000,FLORIDA,SAVINGS,0
CUST046,Ulysses Cox,42,39,718,84000,WASHINGTON,PREMIUM,0
CUST047,Vera Ward,31,20,678,59000,NEVADA,CHECKING,0
CUST048,Wade Perry,37,32,705,76000,OREGON,SAVINGS,0
CUST049,Xara Long,29,18,660,57000,ARIZONA,CHECKING,0
CUST050,Yuri Ross,44,43,730,88000,COLORADO,PREMIUM,0
