customer_id,customer_name,age,account_type,account_balance,years_with_bank,state,credit_score,monthly_banking_revenue
CUST-35310,Stephen Graham,52,Checking,17164.92,25,UT,668,64.84
CUST-885775,Gloria Henderson,54,Student,4779.75,32,VT,801,3.76
CUST-655354,Becky Ward,41,Business,15744.84,19,HI,661,438.76
CUST-216764,Mariah Nolan,68,Student,6190.37,0,MT,741,2.62
CUST-636539,Mary Morales,37,Student,3279.38,19,LA,723,12.41
CUST-205346,Tyler Carson,38,Premium,763531.23,1,AK,642,122.65
CUST-173153,Heather Brandt,48,Savings,59298.08,24,SC,526,35.28
CUST-369753,Aaron Sanchez,19,Savings,25942.18,1,SC,635,62.42
CUST-461548,Leslie Pratt,29,Business,450032.67,2,IN,705,453.23
CUST-288545,Sarah Brock,31,Student,1046.01,8,ME,567,13.51
CUST-715776,Tim Johnson,66,Premium,633670.11,14,WV,661,34.16
CUST-153060,Lori Howard,46,Savings,32872.22,12,AZ,566,57.74
CUST-97955,Tammy Smith,36,Student,2343.5,11,TN,688,2.97
CUST-306400,Blake Meza,27,Checking,40291.73,6,SC,710,28.22
CUST-146833,Norma Schwartz,35,Savings,8107.45,3,KS,656,23.46
CUST-403187,Beth Kerr,35,Student,5344.68,5,MO,828,9.13
CUST-315575,Belinda Steele,44,Premium,1002428.78,24,NH,595,78.25
CUST-594139,Walter Blankenship,57,Savings,44359.04,16,LA,582,56.94
CUST-363426,Dwayne West,48,Checking,51650.24,6,NV,523,14.5
CUST-959678,Jill Summers,25,Business,209003.54,1,ID,695,426.14
CUST-629148,Daniel Shepherd,56,Savings,61645.35,2,UT,693,58.69
CUST-986890,Denise Moran,43,Student,3547.91,2,UT,655,6.92
CUST-669080,Cynthia Gallegos,22,Savings,29870.52,2,WY,622,28.32
CUST-392951,Kimberly Tucker,38,Checking,20165.99,8,GA,764,15.35
CUST-901316,Pamela Berg,50,Checking,10501.34,22,IL,538,52.78
CUST-457798,Sarah Matthews,49,Student,4020.94,0,WA,649,11.52
CUST-910240,Kathy Lopez,34,Checking,6661.03,7,WY,728,53.52
CUST-379937,John Barnes,60,Business,155277.46,24,SC,754,405.98
CUST-553508,Mary Miller,32,Premium,770728.86,4,HI,655,29.23
CUST-949237,Andrew Brown,49,Savings,43843.83,0,NV,758,66.44
CUST-538236,Jay Acosta,37,Business,552508.64,17,PA,665,407.85
CUST-870914,Sarah Green,28,Premium,170542.56,1,AL,584,154.15
CUST-526183,Brian Lloyd,57,Premium,50694.11,31,IL,788,52.97
CUST-15616,Pamela Hunt,43,Checking,40155.85,24,ID,760,21.27
CUST-295409,Ashley Marquez,50,Checking,653.62,3,PA,628,7.64
CUST-341143,Kayla Taylor,50,Checking,6947.58,5,AR,803,44.14
CUST-267709,Michael Williams,44,Student,4881.6,5,DE,805,13.29
CUST-962016,Jeremy Jefferson,18,Checking,39637.96,0,ND,745,43.07
CUST-624594,Hannah Bell,46,Business,64657.76,16,ME,656,101.55
CUST-731663,Taylor Richardson,46,Checking,30536.48,14,NV,520,63.98
CUST-348799,Angela Brown,41,Premium,1132607.42,9,MT,708,164.79
CUST-793386,Mary Griffin,67,Savings,61454.07,18,UT,638,46.62
CUST-813657,Jeremy Huff,32,Premium,981325.45,5,AR,639,114.27
CUST-658071,Johnny Watson PhD,58,Student,6327.97,30,TX,706,1.34
CUST-387907,Michael Martinez,37,Premium,1090023.84,5,VA,721,55.62
CUST-539297,Samuel Doyle,46,Checking,33272.5,11,FL,757,18.95
CUST-851688,Karen Harrison,34,Student,2587.74,7,ND,653,10.45
CUST-40409,Antonio Mitchell,39,Business,178644.51,10,MT,562,405.68
CUST-347009,Lindsay Mitchell,49,Savings,16557.59,11,ME,700,15.54
CUST-872549,Michael Perry,45,Business,35979.15,12,RI,661,268.4
CUST-939931,Nathan Stafford,23,Premium,268767.09,4,AK,646,57.15
CUST-457574,Craig Elliott,39,Student,139.1,0,IA,615,11.19
CUST-826374,Ryan Wilson,42,Checking,56350.27,1,AR,712,35.37
CUST-345916,Daniel Valenzuela,73,Student,5402.47,28,NJ,693,11.06
CUST-975311,Jerry Griffin,48,Checking,44260.53,8,LA,674,5.77
CUST-654379,Alisha Turner,18,Checking,43051.22,0,VA,677,7.19
CUST-820236,Ricardo Hernandez,45,Checking,16088.04,11,IA,850,17.25
CUST-154691,Jennifer Gonzalez,42,Premium,340050.88,15,OK,704,87.31
CUST-65802,Ruth Fry,44,Checking,14063.34,24,ID,586,62.45
CUST-727114,Desiree Crawford,62,Student,3554.85,40,TX,740,5.43
CUST-974010,Amber Morgan,56,Premium,964851.59,28,WV,607,67.18
CUST-382244,David Roberts,66,Student,2344.52,0,TN,567,6.96
CUST-372922,Gabrielle Rivas,53,Student,4614.61,6,MI,850,9.88
CUST-968498,Cody Martinez,30,Business,290367.23,2,OK,634,267.34
CUST-585360,Mary Harris,46,Premium,1012437.14,20,CT,639,116.32
CUST-832917,Mary Lyons,21,Business,347804.85,1,DE,685,134.23
CUST-902449,Jennifer Brown,29,Savings,7502.49,6,ME,717,21.38
CUST-860222,Heather Smith,31,Checking,4583.56,9,TX,803,74.97
CUST-842565,Anna Shaw,33,Savings,30551.38,10,MS,654,15.63
CUST-796007,Elaine Miller,57,Premium,960966.01,17,MI,581,153.73
CUST-93107,Gary Ruiz,48,Premium,960960.32,8,UT,784,92.53
CUST-336655,Anna Robbins,20,Savings,26346.9,0,AL,694,36.05
CUST-478980,Courtney Hawkins,48,Business,507400.55,24,FL,742,436.3
CUST-930261,Todd Maldonado,26,Business,423540.54,8,AZ,574,92.64
CUST-254352,Mary Fisher,52,Student,1931.44,19,AZ,703,7.08
CUST-548942,Tracey Holmes,48,Business,370264.54,15,ND,707,427.14
CUST-530769,Maria Johnson,34,Student,3746.8,12,NE,698,2.36
CUST-92269,Jacob Farmer,49,Business,136260.96,18,VA,622,139.1
CUST-206468,Anna Wood,72,Student,5476.52,35,ND,717,13.49
CUST-214548,Christopher Mitchell,27,Premium,333645.9,2,NC,732,164.45
CUST-34580,Cheryl Byrd,30,Checking,29997.39,4,HI,742,32.89
CUST-248894,Teresa Hamilton,62,Premium,494561.91,10,OK,614,151.68
CUST-524051,Cathy Smith,59,Checking,47202.7,15,IA,713,59.92
CUST-701613,Kimberly Fields,57,Student,5311.13,21,WA,831,0.97
CUST-543959,Matthew Crane,41,Savings,12393.01,2,CA,619,64.29
CUST-586780,Christine Phillips,31,Premium,541935.29,11,MI,614,140.83
CUST-998864,Kelly Mullins,43,Checking,15866.68,14,CA,707,58.9
CUST-432237,Jessica Wright,49,Student,5769.04,11,FL,746,9.45
CUST-924812,Ryan Taylor,45,Checking,56483.24,18,KS,796,59.17
CUST-8285,Elizabeth Lyons,41,Checking,21150.22,9,TN,850,17.67
CUST-194609,Patrick Sullivan,54,Premium,250812.36,19,TX,611,186.04
CUST-306291,Mr. Robert Parker,28,Business,2617.47,6,UT,718,102.8
CUST-889431,Joel Hansen,41,Premium,1042571.55,12,NV,737,42.99
CUST-803729,Carol Simpson,52,Checking,7388.65,34,MD,674,6.29
CUST-860284,David Wheeler,32,Premium,179710.24,14,OH,558,78.25
CUST-682837,Brandon Steele,38,Business,364818.43,3,WV,748,431.94
CUST-497414,Scott Nelson,48,Premium,1140922.13,1,DE,580,88.21
CUST-593995,James Griffin,47,Checking,52540.0,1,OH,710,57.58
CUST-92601,Travis Cruz,31,Checking,44507.73,13,UT,692,6.04
CUST-639484,Ricky Jensen,45,Checking,17819.66,11,MA,588,11.55
CUST-351230,Robert Rivera,50,Business,601841.19,29,SD,724,77.31
CUST-458397,Matthew Gonzalez,61,Business,140988.12,6,WI,764,99.93
CUST-292708,Christian Gray,24,Student,3181.97,2,VT,604,13.63
CUST-832491,Alexandra Peters,52,Business,29567.22,4,MO,721,139.01
CUST-592808,Debra Friedman,52,Business,276368.55,0,VT,850,118.37
CUST-407477,Michael Morton,53,Business,357388.32,33,PA,770,392.51
CUST-66979,Barbara Downs,59,Premium,582090.32,21,AR,732,193.96
CUST-190905,Laura Gibbs,40,Business,365478.42,18,MA,740,202.65
CUST-254796,Marie Proctor,33,Student,1820.13,3,LA,661,11.3
CUST-676962,James Henry,37,Savings,38789.26,15,RI,686,51.6
CUST-194761,Courtney Clark,79,Checking,29078.56,6,MI,530,49.65
CUST-509576,Patricia Brown,55,Savings,16756.56,25,WI,550,59.16
CUST-405595,Amy Robertson,37,Checking,9285.52,12,AK,767,6.05
CUST-515836,Michelle Mayo,45,Savings,1893.8,0,WY,593,52.2
CUST-342655,David Hebert DDS,34,Savings,28759.07,1,MA,734,16.12
CUST-343784,Melissa Gentry,34,Checking,28004.18,12,NC,697,71.84
CUST-341365,Joann Ross,45,Student,4724.4,23,CO,627,3.45
CUST-859251,Rachel Watson,77,Premium,626040.19,37,NE,730,145.58
CUST-840058,James Rhodes,18,Business,252373.68,0,KY,694,460.16
CUST-56740,Gail Atkinson,35,Premium,727544.22,2,DE,748,187.18
CUST-138165,Mandy Mendoza,33,Student,2636.03,2,GA,670,0.77
CUST-444962,David Guzman,52,Savings,31792.51,7,MD,749,73.19
CUST-225271,Suzanne Martin,26,Savings,37082.76,6,AL,653,18.76
CUST-38190,Brian Hayden,37,Checking,37134.81,6,SC,627,6.51
CUST-372382,David King,71,Checking,22692.94,21,MD,712,29.62
CUST-44366,Chris Hooper,26,Savings,12585.96,8,OK,753,45.96
CUST-534880,David Baldwin,76,Checking,10878.74,7,PA,762,7.32
CUST-907499,Anthony Nguyen,22,Business,436786.65,0,UT,641,88.58
CUST-662251,Laura Rose,64,Premium,1245424.09,17,IL,623,147.99
CUST-703248,Alison Peterson,51,Business,440808.4,0,NY,741,193.57
CUST-392236,Cynthia Stewart,31,Savings,36994.77,2,NH,675,46.77
CUST-893614,Amber Miller,18,Checking,11674.62,0,RI,598,18.07
CUST-275892,Susan Whitaker DDS,41,Premium,1027386.02,10,IL,580,25.32
CUST-525026,Karen Henderson,69,Premium,1297429.64,14,SD,565,150.33
CUST-744717,Charlotte Burns DDS,38,Student,3260.78,13,AR,690,4.19
CUST-751477,Douglas Clark,66,Savings,27737.37,1,MT,565,33.66
CUST-574585,James Mora,62,Student,202.49,12,SD,680,0.41
CUST-780124,Lisa Jones,30,Student,1339.49,0,MA,716,10.11
CUST-863474,Andrew Hernandez DDS,47,Premium,984942.29,13,MO,631,199.5
CUST-554429,Jimmy Roberson,46,Checking,16177.06,7,IA,649,43.95
CUST-816323,Elizabeth Decker,46,Savings,51182.82,8,AK,732,23.91
CUST-426171,Kyle Cook,68,Premium,141881.17,30,FL,580,55.11
CUST-139151,Michael Bell,76,Checking,6239.91,22,RI,523,62.39
CUST-650574,Tyler Pham,42,Premium,933530.39,9,DE,727,75.88
CUST-226040,William Underwood,49,Business,399635.85,7,GA,630,90.02
CUST-46920,Sean Burton,41,Student,903.22,8,NE,640,13.8
CUST-502409,Natalie Diaz,36,Checking,45859.91,12,WY,747,67.47
CUST-231552,Billy Larson,50,Savings,46554.51,25,MS,624,34.28
CUST-160581,Veronica Rodriguez,58,Checking,31184.19,12,MT,704,14.99
CUST-576464,Donna Lara,57,Student,2387.1,0,AL,730,5.36
CUST-210938,Ashley Murillo,32,Student,3549.0,4,AL,635,3.09
CUST-250826,Brittney Campbell,56,Savings,20379.61,17,IN,728,46.64
CUST-86701,Jill Wright,44,Checking,16871.44,14,NC,689,46.63
CUST-91214,Jeffery Bell,64,Savings,42148.34,3,WY,632,71.55
CUST-897469,Daniel Morales,53,Business,48816.5,32,NC,663,115.27
CUST-948256,Henry Dixon,41,Student,4138.98,16,AL,767,12.53
CUST-438849,Danielle Nguyen,57,Checking,9812.4,11,OR,745,66.7
CUST-354808,Jesus Taylor,64,Premium,1313718.7,5,NE,681,131.38
