customer_id,first_name,last_name,email,age,gender,income,education,occupation,city,state,zip_code,signup_date
CUST_000001,Danielle,Johnson,john21@example.net,53,M,46284,High School,Sports administrator,New Roberttown,CO,29158,2023-07-12
CUST_000002,Jesse,Guzman,jennifermiles@example.com,45,F,51023,Bachelor,English as a second language teacher,Lawrencetown,WV,21427,2023-05-13
CUST_000003,Helen,Peterson,jasongallagher@example.org,27,F,27433,High School,Chief Executive Officer,Davisstad,PA,35172,2023-08-11
CUST_000004,Lindsay,Blair,dudleynicholas@example.net,33,M,33666,Bachelor,Hospital doctor,Barbaraland,AZ,87174,2024-07-06
CUST_000005,Jeremy,Roberts,wyattmichelle@example.com,34,M,30189,High School,Health physicist,Reidstad,GA,49021,2025-04-02
CUST_000006,Michael,Santiago,lynchgeorge@example.net,44,M,41394,Bachelor,Financial risk analyst,South Noah,SC,90699,2025-02-01
CUST_000007,Angela,Cohen,perezantonio@example.com,59,F,123001,Bachelor,Oncologist,Carlshire,FM,94599,2023-06-12
CUST_000008,Leonard,Rios,pwilkerson@example.com,31,M,52159,High School,Customer service manager,Donaldside,ND,34939,2023-12-09
CUST_000009,Julie,Patterson,icox@example.net,33,M,69457,Bachelor,"Research officer, political party",Port Brandonville,FL,82741,2024-04-07
CUST_000010,Ernest,Becker,cruzcaitlin@example.com,31,F,30161,High School,Seismic interpreter,Tashatown,TX,94967,2025-03-03
CUST_000011,Danny,Dyer,kayla51@example.com,27,F,70397,High School,"Presenter, broadcasting",South Aaron,VA,94830,2025-06-01
CUST_000012,Jose,Mason,williamrodriguez@example.net,34,M,33529,High School,Hydrogeologist,East Nathaniel,GA,71198,2024-04-07
CUST_000013,Stephanie,Nielsen,georgetracy@example.org,22,M,41216,Associate,Medical laboratory scientific officer,Johnbury,FM,74865,2025-04-02
CUST_000014,Stacey,Miller,wcabrera@example.net,45,F,119504,Master,Comptroller,Lake Thomas,OH,22144,2020-09-25
CUST_000015,Joseph,Brennan,ibrandt@example.net,36,F,88952,Master,"Engineer, control and instrumentation",Raymondstad,NV,68340,2023-11-09
CUST_000016,Shannon,Wright,morganbrianna@example.org,40,F,46837,High School,Theatre stage manager,North Chad,SC,08217,2024-11-03
CUST_000017,Jeremy,Whitehead,chad34@example.net,27,F,40056,High School,"Radiographer, diagnostic",New David,FM,75348,2023-11-09
CUST_000018,Barbara,Sanchez,maguirre@example.org,47,M,25502,Bachelor,Chief Strategy Officer,Gomezchester,NH,96062,2024-10-04
CUST_000019,Brian,Valdez,brownjessica@example.org,47,M,49105,High School,Fish farm manager,East Amanda,DC,55797,2023-10-10
CUST_000020,Isaiah,Ford,ramosmichelle@example.net,41,M,46500,High School,Chief Technology Officer,Lake Yvettetown,CO,99272,2024-12-03
CUST_000021,Melinda,Martin,zolson@example.org,35,M,68827,Associate,"Development worker, international aid",Smithfurt,KS,60139,2024-07-06
CUST_000022,Justin,Horton,smoore@example.org,31,M,93689,Master,Barrister,Lake Leeton,OR,62994,2024-02-07
CUST_000023,Wesley,Farrell,brianromero@example.org,44,F,56834,High School,Broadcast presenter,Lake Michellefurt,DE,75169,2023-03-14
CUST_000024,John,Wheeler,barnesbrandy@example.net,25,M,65080,High School,Interpreter,Jamesmouth,IA,35315,2022-08-16
CUST_000025,Randy,Powers,stephen10@example.com,27,M,56959,Bachelor,Wellsite geologist,North Amandahaven,KS,17862,2022-08-16
CUST_000026,Sarah,Ibarra,mikemoore@example.net,41,F,50663,Master,Immigration officer,Lake Lisaport,TN,14078,2021-12-19
CUST_000027,Sheila,Taylor,prestonjulia@example.org,38,M,43237,Associate,Glass blower/designer,Cassandramouth,IL,90612,2023-09-10
CUST_000028,Cynthia,Baker,dking@example.org,24,M,48664,High School,Pharmacologist,Bradleymouth,WI,17647,2023-12-09
CUST_000029,Dana,Green,barnold@example.net,41,F,30854,High School,Acupuncturist,North Sierraberg,ND,05223,2025-06-01
CUST_000030,Mary,Aguilar,russellwilliams@example.com,42,M,43091,High School,Archaeologist,Jasonbury,TN,13974,2024-11-03
CUST_000031,Michael,Castro,vdickson@example.org,32,M,36447,High School,Fast food restaurant manager,Port Lisa,FM,54541,2024-11-03
CUST_000032,Angel,Doyle,kimberly63@example.com,27,F,48509,High School,"Designer, jewellery",South Monicafort,IN,26659,2024-01-08
CUST_000033,Lisa,Stevens,lori33@example.org,56,F,94357,Bachelor,"Engineer, automotive",Murphyland,WI,37086,2024-05-07
CUST_000034,Michael,Hicks,sheila14@example.org,40,F,26986,Bachelor,Telecommunications researcher,Benjaminchester,MI,95992,2023-09-10
CUST_000035,Kristin,Graham,cruzbarbara@example.com,30,F,68343,Bachelor,Armed forces operational officer,Smithside,TX,94798,2023-02-12
CUST_000036,Shelby,Mclaughlin,michaeljones@example.net,46,M,31616,High School,Lawyer,Elizabethville,VA,39864,2024-07-06
CUST_000037,William,Estrada,richard48@example.org,47,M,34208,High School,"Engineer, agricultural",Ortegafurt,TX,98560,2023-12-09
CUST_000038,Raven,Gilbert,richard04@example.com,41,M,70932,Master,"Engineer, materials",Floydmouth,NH,58406,2023-11-09
CUST_000039,Scott,Lewis,yleon@example.net,37,F,26154,Bachelor,"Doctor, general practice",West Zacharymouth,CO,98954,2025-04-02
CUST_000040,Jimmy,Collins,dylanwilliams@example.com,37,F,55539,Master,Tree surgeon,South Robertshire,ID,94656,2022-12-14
CUST_000041,Heather,Snyder,dylanwatts@example.org,49,M,51482,Associate,"Physicist, medical",East Linda,UT,68390,2023-08-11
CUST_000042,Steven,Grant,bryantlaurie@example.net,46,F,63643,Bachelor,Set designer,Stephaniemouth,RI,94777,2025-01-02
CUST_000043,Patricia,Simmons,vmerritt@example.com,53,F,72399,Bachelor,"Production assistant, television",Karenview,WI,68828,2024-05-07
CUST_000044,Todd,Allen,sjones@example.org,33,F,34146,High School,Glass blower/designer,Luisside,CO,18637,2024-03-08
CUST_000045,Edward,Reyes,jasminebrown@example.com,38,F,40677,Associate,Lawyer,Perryborough,MP,55570,2025-04-02
CUST_000046,Perry,Carrillo,gateskathy@example.com,52,F,40600,High School,Publishing rights manager,West Kennethfurt,PR,55422,2022-09-15
CUST_000047,Amanda,Navarro,tracynelson@example.com,38,F,32679,High School,Air cabin crew,Rogersfurt,VA,22133,2024-03-08
CUST_000048,Mary,Calhoun,meadowsbrittany@example.net,33,F,68828,Associate,Aid worker,Lake Roymouth,HI,07091,2023-09-10
CUST_000049,Jorge,Murphy,wmurphy@example.com,49,M,46472,High School,Health physicist,Kingland,NJ,03041,2023-08-11
CUST_000050,Kaitlyn,Williams,jeffrey10@example.org,27,F,61641,Bachelor,Firefighter,Port Andrew,FL,31767,2023-04-13
CUST_000051,David,Caldwell,stevenscott@example.com,45,M,37913,Bachelor,Diplomatic Services operational officer,Port Loriport,CT,76350,2025-03-03
CUST_000052,Anthony,Collins,tsanders@example.org,50,F,35784,Associate,Call centre manager,North Heidi,ME,90188,2024-05-07
